Timeframe,Open,High,Low,Close,Volume
1594533600000,8257.78,8257.78,8221.87,8228.42,12.252149
1594555200000,8228.02,8306.85,8179.86,8206.71,18.347236
1594576800000,8202.22,8282.93,8155.25,8259.8,16.579337
1594598400000,8275.0,8284.15,8217.99,8236.31,4.088918
1594620000000,8240.51,8273.08,8199.12,8264.0,28.576146
1594641600000,8264.0,8299.92,8199.0,8213.3,84.221968
1594663200000,8233.52,8243.65,8155.0,8188.78,26.627725
1594684800000,8180.0,8193.29,8118.0,8128.32,15.580996
1594706400000,8137.71,8179.63,8060.0,8159.06,86.909866
1594728000000,8162.32,8188.62,8107.89,8158.78,29.12558
1594749600000,8158.33,8199.74,8140.01,8157.58,23.666116
1594771200000,8158.7,8174.48,8135.0,8150.0,5.46308
1594792800000,8150.41,8163.94,8085.17,8100.4,40.21614
1594814400000,8100.4,8157.0,8080.0,8113.0,44.946877
1594836000000,8113.0,8144.72,8064.0,8093.07,24.081963
1594857600000,8095.49,8117.84,8083.34,8104.29,9.913515
1594879200000,8100.51,8146.63,7969.75,7989.2,82.708648
